生徒番号,課題設定の俯瞰性と社会的インパクト,学術的探究心と知識の解像度,主体的行動実績と自走力,論理的構成力と目的意識,合計
61287717,10,40,30,20,100
82638063,10,40,30,20,100
48794007,10,40,30,20,100
55455832,9,40,30,20,99
82465347,10,38,30,20,98
81623470,10,40,28,20,98
74922866,10,38,30,20,98
74289586,10,38,30,20,98
61222135,10,38,30,20,98
56013370,10,38,30,20,98
81763662,9,38,30,20,97
81586302,9,38,30,20,97
80919537,9,38,30,20,97
61621951,9,38,30,20,97
60280239,9,38,30,20,97
56076444,9,38,30,20,97
55431534,9,38,30,20,97
82356629,9,38,30,20,97
81731175,9,38,30,19,96
80500277,8,38,30,20,96
75167042,9,38,30,19,96
74278860,9,38,30,19,96
62947524,9,38,30,19,96
62771680,9,38,29,20,96
62576216,10,38,29,19,96
54630711,9,37,30,20,96
81191201,10,38,29,19,96
61594229,9,38,28,20,95
61599948,7,38,30,20,95
82051950,9,38,29,19,95
82287538,9,36,30,20,95
81256337,10,38,28,19,95
81118279,9,38,29,19,95
52054357,9,38,30,18,95
54090725,9,37,30,19,95
80264905,9,35,30,20,94
80306667,9,35,30,20,94
74013238,9,38,28,19,94
64603491,9,38,29,18,94
80682057,9,38,28,19,94
60981326,9,38,28,19,94
63858371,9,38,28,19,94
59319321,9,38,28,19,94
82917990,9,38,28,19,94
81890699,9,36,29,19,93
80279686,7,38,30,18,93
83006796,9,38,27,19,93
60930322,9,37,28,19,93
49757351,9,36,28,20,93
81901828,9,35,28,20,92
82201161,9,36,28,19,92
74308408,9,35,28,20,92
65308093,9,38,25,20,92
62833103,9,37,27,19,92
62711113,9,35,28,20,92
59472235,9,36,28,19,92
60261048,7,38,28,19,92
81610301,9,36,28,19,92
6529348,9,35,28,20,92
82497494,9,38,25,19,91
80766188,9,35,28,19,91
80887074,9,37,28,17,91
80899021,9,38,24,20,91
74872079,9,35,28,19,91
61860328,9,38,25,19,91
62655191,9,37,26,19,91
82956481,8,37,28,18,91
82939535,9,36,27,19,91
82663301,9,35,28,19,91
81236328,9,32,30,20,91
67709231,7,38,28,18,91
8075611,9,38,25,19,91
82410267,9,35,28,18,90
81265824,9,38,24,19,90
80293425,9,38,25,18,90
62777513,9,36,26,19,90
59655577,9,33,29,19,90
58190881,9,35,28,18,90
60070692,9,38,23,20,90
60245131,9,35,28,18,90
48824445,9,38,25,18,90
82608369,8,35,28,19,90
80227856,9,38,24,19,90
6517277,9,36,27,18,90
82584729,9,33,28,19,89
82029768,9,36,26,18,89
80426981,9,34,28,18,89
62822951,8,35,28,18,89
61912883,9,35,27,18,89
82894175,9,36,26,18,89
59933101,9,35,26,19,89
82692441,9,33,28,19,89
82041261,10,31,29,18,88
74521306,8,38,24,18,88
66327121,9,35,28,16,88
61393657,9,31,28,20,88
82728046,9,36,25,18,88
57020817,9,33,28,18,88
49843087,9,33,27,19,88
6374239,9,35,26,18,88
82402965,9,32,28,18,87
81731728,9,32,28,18,87
81572506,9,30,29,19,87
81563019,9,35,24,19,87
77087691,9,30,28,20,87
75504880,9,32,28,18,87
74379593,9,36,24,18,87
61769002,9,35,24,19,87
61743887,9,28,30,20,87
82935025,9,34,26,18,87
82900736,6,35,28,18,87
82497010,8,31,29,19,87
60966947,9,32,27,19,87
45423598,9,32,28,18,87
52060632,9,33,27,18,87
82699411,8,35,26,18,87
82677310,8,32,28,18,86
80577288,9,34,24,19,86
63296730,9,32,26,19,86
62954954,3,38,27,18,86
57245240,5,36,28,17,86
83028307,9,34,25,18,86
82925551,8,28,30,20,86
82901074,9,33,29,15,86
6278477,9,32,28,17,86
6345646,9,32,28,17,86
81234015,9,33,24,19,85
74138235,6,35,26,18,85
80221009,7,32,28,18,85
75122723,7,32,28,18,85
65523644,9,32,26,18,85
61907588,9,28,29,19,85
82522570,9,31,27,18,85
82757585,9,32,25,19,85
82234353,8,31,28,18,85
82608237,8,32,25,19,84
81281021,9,33,24,18,84
81032323,9,25,30,20,84
80415300,9,32,24,19,84
68454252,9,31,26,18,84
61373001,9,30,26,19,84
66591091,8,32,26,18,84
83159771,9,28,28,19,84
59599235,8,30,28,18,84
82514208,9,26,29,20,84
82402418,9,32,24,18,83
81668384,9,32,24,18,83
80864406,7,33,26,17,83
80225250,10,28,26,19,83
81302266,9,26,29,19,83
65699262,9,30,26,18,83
61030236,9,31,28,15,83
82891524,8,31,26,18,83
81140622,9,28,28,18,83
54493544,9,28,28,18,83
82835861,9,32,24,18,83
82585245,8,28,27,19,82
80895425,9,28,26,19,82
62705032,6,32,28,16,82
63994127,6,33,25,18,82
62806777,6,34,28,14,82
82949093,9,28,30,15,82
82651884,6,32,28,16,82
81932278,9,35,18,19,81
81686978,7,32,24,18,81
81757841,6,33,24,18,81
81288841,7,28,28,18,81
64256472,9,30,24,18,81
63726041,6,32,25,18,81
60764741,9,25,28,19,81
59654970,9,25,28,19,81
61020923,8,31,24,18,81
58777792,8,32,25,16,81
59577649,8,32,23,18,81
80642756,9,33,19,19,80
80997716,9,26,26,19,80
61844420,9,25,28,18,80
83107592,9,25,28,18,80
62974203,8,28,26,18,80
80442846,5,31,26,18,80
81509669,9,34,17,19,79
80414559,8,35,24,12,79
80393772,9,25,27,18,79
75755823,8,31,24,16,79
63793733,7,25,28,19,79
60002298,9,28,24,18,79
61433888,8,25,28,18,79
55482546,8,31,28,12,79
52666573,8,31,24,16,79
83034421,6,28,26,19,79
82999023,7,31,25,16,79
48625493,8,25,28,18,79
82697132,9,28,24,18,79
80828990,9,22,29,18,78
80434819,6,25,28,19,78
63495121,9,35,16,18,78
62849603,9,36,15,18,78
82952655,9,35,15,19,78
82760306,8,28,24,18,78
74709674,9,32,17,19,77
62968491,9,32,18,18,77
52068331,8,27,24,18,77
82708703,6,25,28,18,77
82969388,6,30,28,13,77
81123001,6,25,28,18,77
82006253,9,23,27,17,76
81927649,4,32,28,12,76
74710354,9,25,24,18,76
64747468,9,25,24,18,76
80356281,6,24,28,18,76
62547810,8,22,28,18,76
60285508,9,22,26,19,76
6158340,5,32,28,11,76
56413203,9,25,24,18,76
82858551,8,22,28,18,76
